Academic,"Arts, Media, and Publications",Athletic and Recreation,Campus Governance,Career and Professional,Common Interest,Community Building,Cultural and Identity,"Environmental, Science, and Technology","Faith, Religion, and Spirituality",Personal Development and Wellbeing,Political,Service and Social Action
American Society for Microbiology at Duke University,Academic Guides,Club Badminton,Class of 2021,Alpha Eta Mu Beta,Baldwin Scholars,Academic Guides,Alpha Pi Omega Sorority Inc.,Design@Duke,Buddhist Meditation Community at Duke,Academic Guides,Asian American Alliance,Active Minds: Nurses for Mental Health Awareness
Biology Majors Union,Alpha Eta Mu Beta,Club Baseball,Devil Dialogues,American Medical Women's Association Graduate Chapter,Basketball Committee,Active Minds: Nurses for Mental Health Awareness,Asian American Alliance,Duke Cyber,Chapel Choir,Active Minds: Nurses for Mental Health Awareness,Devil Dialogues,Adopt A Grandparent
Duke Chemistry Majors Union,Association of Women in Business,Club Brazilian Jiu Jitsu,Duke Launch,American Medical Women's Association Undergraduate Chapter,Club Taekwondo,Admissions Ambassadors,Asian Business Club (ABC),Duke Hyperloop Club,Devil Dialogues,Buddhist Meditation Community at Duke,Duke Association of Debate Coaches,Advocates for MD/PhD Women in Science
Duke Energy Club,Baldwin Scholars,Club Cycling,Duke Student Government,American Society of Civil Engineers,Design@Duke,Alpha Delta Phi,Asian Students Association,Duke Medical Ethics Journal,Duke Catholic Center,Building Outdoor Leaders at Duke,Duke Cyber,Alpha Phi Alpha Fraternity Inc. (Kappa Omicron)
Duke History Union,Bass Connections,Club Equestrian,Duke University School of Nursing Student Council,APC Consulting Club,Devil Dialogues,Alpha Delta Pi,Black Graduate and Professional Students Association,Duke Robotics Club,Duke Latter-day Saint Student Association,Chapel Pathways,Duke Democrats,Alpha Phi Omega
Duke Quiz Bowl,Biomedical Engineering Ph.D. Student Association,Club Field Hockey,Duke University Student Dining Advisory Committee,Association for Computing Machinery: Women in Computing,Doctors Without Borders-Duke,Alpha Epsilon Pi,Black Men's Union,Duke Student Global Health Review,Duke Simple Charity,Club Taekwondo,Duke Friends of Israel,Amnesty International
Duke Robotics Club,Biomedical Engineering Society,Club Figure Skating,Dukes and Duchesses,Association of Women Surgeons,Duke Anime Club,"Alpha Kappa Alpha Sorority, Inc.",Black Student Alliance,Duke Undergraduate Quantum Information Society,Jewish Life at Duke,DEMAN,Duke International Relations Association (DIRA),Be The Match On Campus
Duke Student Global Health Review,Black Law Students Association,Club Golf,Engineering Graduate Student Council,Bench and Bar Pre-Law Society,Duke Anti-Racism Book Club,alpha Kappa Delta Phi,Black Women's Union,Duke University Environmental Justice Network,,Devil Dialogues,Duke Israel Public Affairs Committee,Big Brothers Big Sisters at Duke
The UNICEF Club at Duke University,Bull City Scholars,Club Ice Hockey,Engineering Student Government,Black & Latino MBA Organization,Duke Association for Greater Gaming Education and Recreation,Alpha Phi,Bouchet Society,"Environmental Communication, Outreach, and Education",,Duke Anti-Racism Book Club,Duke Law Democrats,Blue Devils versus Cancer
,Business Law Society,Club Krav Maga,Graduate and Professional Student Council,Black in Business,Duke Automotive Performance Association,Alpha Phi Alpha Fraternity Inc. (Kappa Omicron),Buddhist Meditation Community at Duke,Google Developer Student Club - Duke,,Duke Rec & PE,Duke Machik Chapter,Bridging Communities
,Classics Collegium,Club Men's Basketball,Graduate and Professional Student Council Student Life Committee,Cardiothoracic Surgery Interest Group,Duke CommuniTEA,Alpha Phi Omega,Center for Multicultural Affairs,Green Roof and Orchard Workforce,,Google Developer Student Club - Duke,Duke Mock Trial,Bull City Scholars
,"Department of Art, Art History, and Visual Studies Graduate Student Association",Club Running,Nicholas School Student Council,Career Ambassador Team,Duke Gaming,Alpha Pi Omega Sorority Inc.,Center for Race Relations,Innovation & Entrepreneurship Initiative,,Know Your Status,Duke Moot Court,Camp Kesem Duke
,Duke Air Force ROTC,Club Sailing,Physical Therapy Student Council,Career Center,Duke Go Club,Alpha Tau Omega,Chabad Graduate Student Group,International Society of Tropical Foresters,,MIND the GAPS,Duke Student Collaborative on Health Policy,"Campus Pantry Collaborative, Duke Undergraduate Chapter"
,Duke Cyber,Club Ski & Snowboard,Sanford School of Public Policy Student Council,Catalyst,Duke Inside Education,Alumni Association,Chabad Student Group,International Society of Tropical Foresters,,National Alliance on Mental Illness (NAMI) on Campus at Duke University,Duke Students Demand Action,Challah for Hunger at Duke
,Duke East Asia Nexus,Club Squash,Student Organization Finance Committee,Delta Sigma Pi,Duke Medical Ethics Journal,Blue Devils United,Crossroads Student Advisory Council,Neural Engineering Undergraduate Union,,"Omega Psi Phi Fraternity, Inc.",Duke Students for Justice in Palestine,CHANCE Tutoring
,Duke Energy Club,Club Swimming,Undergraduate Environmental Union,DEMAN,Duke Plants and Botany Connections,Bull City Scholars,Desarrolla,Undergraduate Environmental Union,,Peer Advocacy for Sexual Health,Juhood Magazine,Coalition for Preserving Memory
,Duke Global Health Major's Union,Club Table Tennis,,Doctors Without Borders-Duke,Duke Quiz Club,BullCity Bookworms,Devil Dialogues,,,Peer for You,Policy for the People,Community Empowerment Fund
,Duke History Union,Club Taekwondo,,DPT Class of 2021,Duke Research Scholars Program,Campus Life,Duke African Graduate and Professional Students Association,,,Sahaja Meditation,Policy in Living Color,Community Service Center
,Duke Hyperloop Club,Club Tennis,,Duke Actuarial Society,Duke Robotics Club,Career Center,Duke Anti-Racism Book Club,,,Sanford Board Leadership Initiative,Sanford Graduates in American Grand Strategy,Crazies Who Care
,Duke Institute for Healthcare Improvement Open School Chapter,Club Women's Basketball,,Duke Advanced Professional Degree Consulting Club,Duke Sleight Club,Catalyst,Duke Asian-Pacific American Medical Students Association,,,Social Innovation & Policy Initiative,Sanford Pints and Politics Club,Davison Council Service Committee
,Duke MBA Energy Club,Club Women's Volleyball,,Duke Air Force ROTC,Duke Speech Team,Center for Multicultural Affairs,Duke ASL,,,Sustainable Ocean Alliance,Students for a National Health Program,Define American
